List of Creatures by Experience to Hit Points Ratio (1896)
Name		Exp	HP	Exp/HP Ratio
Spidris Elite	Spidris Elite	4,000	5,000	0.8
Terrified Elephant	Terrified Elephant	160	320	0.5
Elvira Hammerthrust	Elvira Hammerthrust	165	245	0.673
Poodle	Poodle	0	20	0
Slippery Northern Pike	Slippery Northern Pike	0	100	0
Mornenion	Mornenion	115	190	0.605
Bane Lord	Bane Lord	500	3,000	0.167
Mirade (Creature)	Mirade (Creature)	30,000	100,000	0.3
Tjured (Creature)	Tjured (Creature)	--	--	?
Rejana (Creature)	Rejana (Creature)	30,000	100,000	0.3
Wolf (Nostalgia)	Wolf (Nostalgia)	15	25	0.6
Bear (Nostalgia)	Bear (Nostalgia)	21	80	0.263
Wasp (Nostalgia)	Wasp (Nostalgia)	21	35	0.6
Bug (Nostalgia)	Bug (Nostalgia)	15	29	0.517
Spider (Nostalgia)	Spider (Nostalgia)	10	20	0.5
Bonelord (Nostalgia)	Bonelord (Nostalgia)	157	260	0.604
Giant Spider (Nostalgia)	Giant Spider (Nostalgia)	840	1,300	0.646
Craban (Creature)	Craban (Creature)	200	300,000+?	?
Denson Larika (Creature)	Denson Larika (Creature)	3,000?	50,000?	?
Robby the Reckless	Robby the Reckless	110	155	0.71
Delany (Creature)	Delany (Creature)	30,000	100,000	0.3
Siramal (Creature)	Siramal (Creature)	35,000	100,000	0.35
Bolfrim (Creature)	Bolfrim (Creature)	35,000	100,000	0.35
Jesse the Wicked	Jesse the Wicked	180	280	0.643
Dragon Hatchling	Dragon Hatchling	185	380	0.487
Dragon	Dragon	700	1,000	0.7
Frost Dragon Hatchling	Frost Dragon Hatchling	745	800	0.931
Draptor	Draptor	2,400	3,000	0.8
Dragon Lord Hatchling	Dragon Lord Hatchling	645	750	0.86
Frost Dragon	Frost Dragon	2,100	1,800	1.167
Undead Dragon	Undead Dragon	7,200	8,350	0.862
Chayenne (Creature)	Chayenne (Creature)	40,000	100,000+	?
Baby Pet of Chayenne	Baby Pet of Chayenne	0	380	0
Noble Pet of Chayenne	Noble Pet of Chayenne	0	?	?
Count Tofifti (Creature)	Count Tofifti (Creature)	40,000?	100,000?	?
Yellow Toilet Paper Man	Yellow Toilet Paper Man	?	?	?
Penciljack (Creature)	Penciljack (Creature)	35,000	150,000	0.233
Lionet (Creature)	Lionet (Creature)	35,000	100,000	0.35
Muse of Penciljack	Muse of Penciljack	1,050	1,200?	?
Lyxoph (Creature)	Lyxoph (Creature)	10,000	45,000	0.222
Skyrr (Creature)	Skyrr (Creature)	?	?	?
Grimrat	Grimrat	?	?	?
Grims Little Hamster	Grims Little Hamster	?	5,500?	?
Tin Lizzard of Lyxoph	Tin Lizzard of Lyxoph	5,500 ?	?	?
Fazzrah	Fazzrah	2,600	2,955	0.88
Bruise Payne	Bruise Payne	1,000	1,600	0.625
Manta Ray	Manta Ray	125	680	0.184
Deepling Spellsinger	Deepling Spellsinger	1,000	850	1.176
Deepling Scout	Deepling Scout	160	240	0.667
Deepling Guard	Deepling Guard	2,100	1,900	1.105
Tromphonyte	Tromphonyte	1,300	3,000	0.433
Paiz the Pauperizer	Paiz the Pauperizer	6,300	8,500	0.741
Tormentor	Tormentor	3,200	4,100	0.78
Deepling Elite	Deepling Elite	3,000	3,200	0.938
Deepling Tyrant	Deepling Tyrant	4,200	4,500	0.933
Hemming	Hemming	2,850	3,000	0.95
Zanakeph	Zanakeph	9,900	13,000	0.762
Maw	Maw	6,500	8,200	0.793
Fleshslicer	Fleshslicer	5,500	5,700	0.965
Chopper	Chopper	5,400	7,200	0.75
Mindmasher	Mindmasher	6,000	9,500	0.632
Shadowstalker	Shadowstalker	4,000	6,100	0.656
Rotspit	Rotspit	?	6,800	?
Deepling Brawler	Deepling Brawler	260	380	0.684
Grave Robber	Grave Robber	65	165	0.394
Crypt Defiler	Crypt Defiler	70	185	0.378
Deepling Master Librarian	Deepling Master Librarian	1,900	1,700	1.118
Crystalcrusher	Crystalcrusher	500	570	0.877
Enslaved Dwarf	Enslaved Dwarf	2,700	3,800	0.711
Lost Berserker	Lost Berserker	4,400	5,900	0.746
Gnomevil	Gnomevil	45,000	250,000	0.18
Mushroom Sniffer	Mushroom Sniffer	0	250	0
Wiggler	Wiggler	900	1,200	0.75
Mamma Longlegs	Mamma Longlegs	2,200	1,800	1.222
Lagatos	Lagatos	35,189	?	?
Tormented Ghost	Tormented Ghost	5	210	0.024
The Noxious Spawn	The Noxious Spawn	6,000	9,500	0.632
Magma Crawler	Magma Crawler	2,700	4,800	0.563
Dragonling	Dragonling	2,200	2,600	0.846
Ironblight	Ironblight	4,400	6,600	0.667
Hideous Fungus	Hideous Fungus	2,900	4,600	0.63
Humongous Fungus	Humongous Fungus	2,600	3,400	0.765
Stone Devourer	Stone Devourer	2,900	4,200	0.69
Orewalker	Orewalker	4,800	7,200	0.667
Cliff Strider	Cliff Strider	5,700	9,400	0.606
Anmothra	Anmothra	15,000	7,000	2.143
Irahsae	Irahsae	15,000	35,000	0.429
Phrodomo	Phrodomo	44,000	90,000	0.489
Fury	Fury	4,000	4,100	0.976
Dark Torturer	Dark Torturer	4,650	7,350	0.633
The Many	The Many	4,000	5,000	0.8
Esmeralda	Esmeralda	600	800	0.75
Abyssador	Abyssador	50,000	340,000	0.147
Deathstrike	Deathstrike	40,000	200,000	0.2
Gnarlhound	Gnarlhound	60	198	0.303
Modified Gnarlhound	Modified Gnarlhound	0	1,500	0
Vulcongra	Vulcongra	1,100	1,600	0.688
Enraged Crystal Golem	Enraged Crystal Golem	550	700	0.786
Damaged Crystal Golem	Damaged Crystal Golem	0	500	0
Rukor Zad	Rukor Zad	380	380	1
Yaga the Crone	Yaga the Crone	375	620	0.605
Humorless Fungus	Humorless Fungus	0	2,500	0
Armadile	Armadile	2,900	3,800	0.763
Lava Golem	Lava Golem	6,200	9,000	0.689
Weeper	Weeper	4,800	6,800	0.706
Vampire Bride	Vampire Bride	1,050	1,200	0.875
Yielothax	Yielothax	1,250	1,500	0.833
Versperoth	Versperoth	30,000	100,000	0.3
Strange Slime	Strange Slime	0	15	0
Infected Weeper	Infected Weeper	1,200	3,000	0.4
Parasite	Parasite	0	550	0
Raging Mage	Raging Mage	3,250	3,500	0.929
Sloth Wraith	Sloth Wraith	--	--	?
Ship Core	Ship Core	0	?	?
Minion of Versperoth	Minion of Versperoth	0	9,000?	?
Marid	Marid	410	550	0.745
Shredderthrower	Shredderthrower	18	100	0.18
Nomad (Female)	Nomad (Female)	60	160	0.375
Nomad (Blue)	Nomad (Blue)	60	160	0.375
Young Troll	Young Troll	12	30	0.4
Berrypest	Berrypest	0	500	0
Annihilon	Annihilon	15,000	46,500	0.323
Green Djinn	Green Djinn	215	330	0.652
Blue Djinn	Blue Djinn	215	330	0.652
Emerald Damselfly	Emerald Damselfly	35	90	0.389
Marsh Stalker	Marsh Stalker	50	100	0.5
Salamander	Salamander	25	70	0.357
Swampling	Swampling	45	80	0.563
Bibby Bloodbath	Bibby Bloodbath	1,500	1,200	1.25
Corym Charlatan	Corym Charlatan	150	250	0.6
Corym Skirmisher	Corym Skirmisher	260	450	0.578
Lost Basher	Lost Basher	1,800	2,600	0.692
Lost Husher	Lost Husher	1,800	1,600	1.125
Pigeon	Pigeon	0	30	0
Water Buffalo	Water Buffalo	20	390	0.051
Lost Thrower	Lost Thrower	1,200	1,700	0.706
Drillworm	Drillworm	858	1,500	0.572
Adventurer	Adventurer	0	65	0
Little Corym Charlatan	Little Corym Charlatan	40	90	0.444
Angry Adventurer	Angry Adventurer	50	65	0.769
Party Skeleton	Party Skeleton	0	40	0
Earth Elemental	Earth Elemental	450	650	0.692
Demon	Demon	6,000	8,200	0.732
Corym Vanguard	Corym Vanguard	490	700	0.7
Mr. Punish	Mr. Punish	9,000	22,000	0.409
Medusa	Medusa	4,050	4,500	0.9
Elder Wyrm	Elder Wyrm	2,500	2,700	0.926
Vampire Viscount	Vampire Viscount	800	1,200	0.667
Vicious Manbat	Vicious Manbat	1,200	1,700	0.706
White Shade	White Shade	120	260	0.462
Tarnished Spirit	Tarnished Spirit	120	150	0.8
Shadow Pupil	Shadow Pupil	410	450	0.911
Blood Hand	Blood Hand	750	700	1.071
Blood Priest	Blood Priest	900	820	1.098
Forest Fury	Forest Fury	235	480	0.49
Rorc	Rorc	105	260	0.404
Undead Pet of Chayenne	Undead Pet of Chayenne	0	8,350?	?
Kraknaknork	Kraknaknork	300	80	3.75
Nightfiend	Nightfiend	2,100	2,700	0.778
Tyrn	Tyrn	6,900	12,000	0.575
The Welter	The Welter	11,000	25,000	0.44
White Pale	White Pale	390	500	0.78
Shlorg	Shlorg	--	?	?
The Pale Count	The Pale Count	28,000	50,000	0.56
Bretzecutioner	Bretzecutioner	3,700	5,600	0.661
Willi Wasp	Willi Wasp	250	250	1
Chizzoron the Distorter	Chizzoron the Distorter	4,000	16,000	0.25
Wild Fury Magic	Wild Fury Magic	--	--	?
Wild Nature Magic	Wild Nature Magic	--	--	?
Wild Water Magic	Wild Water Magic	--	--	?
Wild Fire Magic	Wild Fire Magic	--	--	?
Omruc	Omruc	2,950	4,300	0.686
Zomba	Zomba	300	300	1
Necromancer Servant	Necromancer Servant	590	600	0.983
Enraged Soul	Enraged Soul	120	150	0.8
Ocyakao	Ocyakao	490	700	0.7
Hirintror	Hirintror	800	1,500	0.533
Zushuka	Zushuka	9,000	15,000	0.6
Furyosa	Furyosa	11,500	25,000	0.46
Weakened Shlorg	Weakened Shlorg	6,500	10,000	0.65
Spawn of the Welter	Spawn of the Welter	?	?	?
Egg (Creature)	Egg (Creature)	0	800	0
Demon Outcast	Demon Outcast	6,200	6,900	0.899
Shock Head	Shock Head	2,300	4,200	0.548
Sight of Surrender	Sight of Surrender	17,000	28,000	0.607
Silencer	Silencer	5,100	5,400	0.944
Terrorsleep	Terrorsleep	7,240	7,200	1.006
Choking Fear	Choking Fear	4,700	5,800	0.81
Feversleep	Feversleep	5,060	5,900	0.858
Nightmare of Gaz'haragoth	Nightmare of Gaz'haragoth	0	5,500	0
Minion of Gaz'haragoth	Minion of Gaz'haragoth	0	5,500	0
Zavarash	Zavarash	21,000	35,000	0.6
Horadron	Horadron	18,000	30,000	0.6
Terofar	Terofar	24,000	40,000	0.6
Prince Drazzak	Prince Drazzak	210,000	330,000	0.636
Mawhawk	Mawhawk	14,000	45,000	0.311
Shiversleep	Shiversleep	1,900	4,600	0.413
Shimmying Butterfly	Shimmying Butterfly	0	20	0
Bad Dream	Bad Dream			?
Wounded Cave Draptor	Wounded Cave Draptor	50	5	10
Omrafir	Omrafir	?	322,000	?
Flame of Omrafir	Flame of Omrafir	?	800	?
Phantasm (Weak)	Phantasm (Weak)	1	65	0.015
Hellhound	Hellhound	5,440	7,500	0.725
Mooh'Tah Warrior	Mooh'Tah Warrior	900	1,200	0.75
Metal Gargoyle	Metal Gargoyle	1,278	2,100	0.609
Minotaur Amazon	Minotaur Amazon	2,200	2,600	0.846
Execowtioner	Execowtioner	2,400	3,500	0.686
Minotaur Hunter	Minotaur Hunter	1,700	1,400	1.214
Worm Priestess	Worm Priestess	1,500	1,100	1.364
Walker	Walker	2,200	3,000	0.733
Blood Beast	Blood Beast	1,000	1,600	0.625
Devourer	Devourer	1,755	1,900	0.924
Glooth Blob	Glooth Blob	700	750	0.933
Rustheap Golem	Rustheap Golem	2,100	2,800	0.75
Rot Elemental	Rot Elemental	750	850	0.882
Bullwark	Bullwark	22,000	72,000	0.306
Glooth Golem	Glooth Golem	1,606	2,700	0.595
Glooth Anemone	Glooth Anemone	1,755	2,400	0.731
The Ravager	The Ravager	14,980	53,500	0.28
Death Priest Shargon	Death Priest Shargon	~20,000	65,000	?
Glooth Fairy	Glooth Fairy	19,000	59,000	0.322
Lisa	Lisa	18,000	55,000	0.327
Lesser Death Minion	Lesser Death Minion	0	550	0
Greater Death Minion	Greater Death Minion	0	1,500	0
Superior Death Minion	Superior Death Minion	0	2,500?	?
Necromantic Energy	Necromantic Energy	?	?	?
Mountain Troll	Mountain Troll	12	30	0.4
Troll-Trained Salamander	Troll-Trained Salamander	23	70	0.329
Dawnfly	Dawnfly	35	90	0.389
Brittle Skeleton	Brittle Skeleton	35	50	0.7
Muglex Clan Footman	Muglex Clan Footman	25	50	0.5
Muglex Clan Scavenger	Muglex Clan Scavenger	37	60	0.617
Salamander Trainer	Salamander Trainer	70	220	0.318
Woodling	Woodling	40	80	0.5
Juvenile Cyclops	Juvenile Cyclops	130	260	0.5
Sacred Snake	Sacred Snake	0	10	0
Minotaur Bruiser	Minotaur Bruiser	50	100	0.5
Muglex Clan Assassin	Muglex Clan Assassin	48	75	0.64
Crazed Dwarf	Crazed Dwarf	50	105	0.476
Dawn Scorpion	Dawn Scorpion	45	65	0.692
Lesser Fire Devil	Lesser Fire Devil	110	175	0.629
Meadow Strider	Meadow Strider	50	100	0.5
Minotaur Occultist	Minotaur Occultist	100	125	0.8
Minotaur Poacher	Minotaur Poacher	55	160	0.344
Scar Tribe Shaman	Scar Tribe Shaman	85	115	0.739
Scar Tribe Warrior	Scar Tribe Warrior	85	125	0.68
Professor Maxxen	Professor Maxxen	15,500	90,000	0.172
Noble Lion	Noble Lion	400	1,000	0.4
Renegade Quara Constrictor	Renegade Quara Constrictor	1,250	1,500	0.833
Renegade Quara Hydromancer	Renegade Quara Hydromancer	1,800	2,000	0.9
Renegade Quara Mantassin	Renegade Quara Mantassin	1,000	1,200	0.833
Renegade Quara Predator	Renegade Quara Predator	2,700	3,250	0.831
Renegade Quara Pincher	Renegade Quara Pincher	2,200	2,800	0.786
Abyssal Calamary	Abyssal Calamary	200	300	0.667
High Voltage Elemental	High Voltage Elemental	1,500	1,500	1
Glooth-Generator	Glooth-Generator	0	12,000	0
Control Tower	Control Tower	3,000	7,500	0.4
Unstable Tunnel	Unstable Tunnel	?	?	?
Glooth Battery	Glooth Battery	3,000	8,000	0.375
Energy Pulse	Energy Pulse	--	--	?
Glooth Masher	Glooth Masher	?	?	?
Glooth Trasher	Glooth Trasher	?	?	?
Glooth Slasher	Glooth Slasher	?	?	?
Glooth Horror	Glooth Horror	900?	15,000	?
Feeble Glooth Horror	Feeble Glooth Horror	245?	5,000	?
Weakened Glooth Horror	Weakened Glooth Horror	245	10,000	0.025
Strong Glooth Horror	Strong Glooth Horror	1,500?	20,000	?
Empowered Glooth Horror	Empowered Glooth Horror	2,150?	25,000	?
Tentacle of the Deep Terror	Tentacle of the Deep Terror	0?	~25,500	?
Deep Terror	Deep Terror	35,000	100,000	0.35
Glooth Bomb	Glooth Bomb	?	250,000	?
Tremor Worm	Tremor Worm	80,000?	125,000	?
Depowered Minotaur	Depowered Minotaur	1,100	1,500	0.733
Glooth Powered Minotaur	Glooth Powered Minotaur	?	?	?
Minotaur Totem	Minotaur Totem	500	6,000	0.083
Minotaur Invader	Minotaur Invader	1,600	1,850	0.865
Moohtant Wallbreaker	Moohtant Wallbreaker	?	250,000	?
Glooth Brigand	Glooth Brigand	1,900	2,400	0.792
Glooth Bandit	Glooth Bandit	2,000	2,600	0.769
Troll Marauder	Troll Marauder	40	70	0.571
Frost Spider	Frost Spider	0	1,250	0
Frost Servant	Frost Servant	0	385	0
Raging Fire	Raging Fire	1,500	1,800	0.833
Acid Blob	Acid Blob	250	250	1
Ancient Scarab	Ancient Scarab	720	1,000	0.72
Troll	Troll	20	50	0.4
Werewolf	Werewolf	1,900	1,955	0.972
The Plasmother	The Plasmother	12,000	7,500	1.6
Sheep	Sheep	0	20	0
Muddy Earth Elemental	Muddy Earth Elemental	450	650	0.692
Monk	Monk	200	240	0.833
Mimic	Mimic	0	1,200	0
Man in the Cave	Man in the Cave	777	485	1.602
Infernalist	Infernalist	4,000	3,650	1.096
Furious Troll	Furious Troll	185	245	0.755
Dworc Venomsniper	Dworc Venomsniper	35	80	0.438
Defiler	Defiler	3,700	3,650	1.014
Cobra	Cobra	30	65	0.462
Werebear	Werebear	2,100	2,400	0.875
Werebadger	Werebadger	1,600	1,700	0.941
Wereboar	Wereboar	2,000	2,200	0.909
Gloom Wolf	Gloom Wolf	70	200	0.35
Feroxa	Feroxa	?	?	?
Ghost Wolf	Ghost Wolf	65	160	0.406
Tainted Soul	Tainted Soul	0	250	0
Redeemed Soul	Redeemed Soul	0	250	0
Omnivora	Omnivora	750	1,200	0.625
Vicious Squire	Vicious Squire	900	1,000	0.9
Renegade Knight	Renegade Knight	1,200	1,450	0.828
Vile Grandmaster	Vile Grandmaster	1,500	1,700	0.882
Dawnfire Asura	Dawnfire Asura	4,100	2,900	1.414
Midnight Asura	Midnight Asura	4,100	3,100	1.323
Ekatrix	Ekatrix	200	500	0.4
The Flaming Orchid	The Flaming Orchid	8,500	4,000	2.125
Mahatheb	Mahatheb	600	650	0.923
Feroxa (Werewolf)	Feroxa (Werewolf)	?	?	?
Feroxa (Killable Werewolf)	Feroxa (Killable Werewolf)	?	150,000	?
Feroxa (Gloom Wolf)	Feroxa (Gloom Wolf)	?	?	?
Oodok Witchmaster	Oodok Witchmaster	550	450	1.222
Tzumrah the Dazzler	Tzumrah the Dazzler	1,700	1,700	1
Canopic Jar	Canopic Jar	0	1,000	0
Owin (Creature)	Owin (Creature)	5,000	9,600	0.521
Hydra	Hydra	2,100	2,350	0.894
Dragon Lord	Dragon Lord	2,100	1,900	1.105
Arthom the Hunter	Arthom the Hunter	550	500	1.1
The Mean Masher	The Mean Masher	6,000	8,000	0.75
Vexclaw	Vexclaw	6,248	8,500	0.735
Grimeleech	Grimeleech	7,216	9,500	0.76
Ogre Savage	Ogre Savage	950	1,400	0.679
Clomp	Clomp	475	900	0.528
Plagirath	Plagirath	250,000	290,000	0.862
Shulgrax	Shulgrax	250,000	290,000	0.862
Tarbaz	Tarbaz	250,000	290,000?	?
Zamulosh	Zamulosh	250,000	?	?
Ragiaz	Ragiaz	250,000	280,000?	?
Razzagorn	Razzagorn	250,000	290,000	0.862
Ogre Brute	Ogre Brute	800	1,000	0.8
Seacrest Serpent	Seacrest Serpent	2,600	3,000	0.867
Ferumbras Mortal Shell	Ferumbras Mortal Shell	500,000	300,000	1.667
Rage of Mazoran	Rage of Mazoran	0	4,500	0
Ascending Ferumbras	Ascending Ferumbras	?	?	?
Ferumbras Soul Splinter	Ferumbras Soul Splinter	?	90,000	?
Mazoran	Mazoran	250,000	290,000	0.862
Dread Intruder	Dread Intruder	2,400	4,500	0.533
Reality Reaver	Reality Reaver	2,480	3,900	0.636
Breach Brood	Breach Brood	1,760	3,500	0.503
Enthralled Demon	Enthralled Demon	?	8,200	?
Rift Invader	Rift Invader	?	6,250	?
Ferumbras Essence	Ferumbras Essence	?	?	?
Destabilized Ferumbras	Destabilized Ferumbras	?	?	?
Rift Fragment	Rift Fragment	?	?	?
Disgusting Ooze	Disgusting Ooze	?	?	?
Death Dragon	Death Dragon	?	8,350	?
Eruption of Destruction	Eruption of Destruction	0	8,500	0
Sin Devourer	Sin Devourer	?	?	?
Guilt	Guilt	?	?	?
Despair	Despair	0	10,000	0
Instable Breach Brood	Instable Breach Brood	1,100	2,200	0.5
Instable Sparkion	Instable Sparkion	1,350	1,900	0.711
Stabilizing Reality Reaver	Stabilizing Reality Reaver	1,950	2,500	0.78
Stabilizing Dread Intruder	Stabilizing Dread Intruder	1,900	2,800	0.679
Charged Anomaly	Charged Anomaly	?	18,000	?
Anomaly	Anomaly	50,000	290,000	0.172
Grim Reaper	Grim Reaper	5,500	3,900	1.41
Spark of Destruction	Spark of Destruction	?	3,900	?
Outburst	Outburst	50,000	290,000	0.172
Charging Outburst	Charging Outburst	50,000	12,000	4.167
Eradicator	Eradicator	50,000	290,000	0.172
Realityquake	Realityquake	20,000	110,000	0.182
Aftershock	Aftershock	?	105,000?	?
Foreshock	Foreshock	?	105,000?	?
Rupture	Rupture	~112,000	290,000	?
The Destruction	The Destruction	?	?	?
The Hunger	The Hunger	?	?	?
The Rage	The Rage	?	?	?
World Devourer	World Devourer	~77,700	25,000?	?
Charger	Charger	85	1,600	0.053
Overcharged Disruption	Overcharged Disruption	?	?	?
Frenzy	Frenzy	~1,313	8,210	?
Greed	Greed	?	?	?
Disruption	Disruption	~398	12,000	?
Overcharge	Overcharge	0	8,000	0
Burster	Burster	10,000	10,000?	?
Damage Resonance	Damage Resonance	~560	11,000	?
Crackler	Crackler	?	?	?
Charged Disruption	Charged Disruption	?	?	?
Unstable Spark	Unstable Spark	1,500	10,500	0.143
Depolarized Crackler	Depolarized Crackler	?	?	?
Midnight Panther	Midnight Panther	900	1,200	0.75
Jaul	Jaul	30,000	90,000	0.333
Warlock	Warlock	4,000	3,500	1.143
Sea Serpent	Sea Serpent	2,300	1,950	1.179
Gaz'haragoth	Gaz'haragoth	1,000,000	350,000	2.857
Frazzlemaw	Frazzlemaw	3,740	4,100	0.912
Ferumbras	Ferumbras	35,000	90,000	0.389
Guzzlemaw	Guzzlemaw	6,050	6,400	0.945
Retching Horror	Retching Horror	4,100	5,300	0.774
Juggernaut	Juggernaut	11,200	18,000	0.622
Twisted Shaper	Twisted Shaper	1,750	2,500	0.7
Shaper Matriarch	Shaper Matriarch	1,650	2,000	0.825
Orclops Ravager	Orclops Ravager	1,100	1,200	0.917
Stone Rhino	Stone Rhino	1,800	3,000	0.6
Dragonking Zyrtarch	Dragonking Zyrtarch	?	?	?
Broken Shaper	Broken Shaper	1,600	2,200	0.727
Corrupted Soul	Corrupted Soul	1,300	1,100	1.182
Soul of Dragonking Zyrtarch	Soul of Dragonking Zyrtarch	?	?	?
The Time Guardian	The Time Guardian	50,000	?	?
Lady Tenebris	Lady Tenebris	~50,000?	?	?
Shadow Tentacle	Shadow Tentacle	?	?	?
Cave Parrot	Cave Parrot	0	30	0
Orclops Doomhauler	Orclops Doomhauler	1,200	1,700	0.706
Squidgy Slime	Squidgy Slime	55	150	0.367
Frozen Man	Frozen Man	?	?	?
Solid Frozen Horror	Solid Frozen Horror	?	?	?
Frozen Minion	Frozen Minion	?	?	?
Icicle (Creature)	Icicle (Creature)	?	?	?
Dragon Egg	Dragon Egg	?	?	?
Soulcatcher	Soulcatcher	?	?	?
Golden Servant Replica	Golden Servant Replica	450	2,000	0.225
Diamond Servant Replica	Diamond Servant Replica	700	2,000	0.35
Animated Sword	Animated Sword	?	?	?
A Shielded Astral Glyph	A Shielded Astral Glyph	?	?	?
The Astral Source	The Astral Source	?	?	?
Bound Astral Power	Bound Astral Power	?	?	?
Mounted Thorn Knight	Mounted Thorn Knight	15,000	?	?
Possessed Tree	Possessed Tree	1,300	2,500	0.52
Thorn Minion	Thorn Minion	?	?	?
Unbound Blightwalker	Unbound Blightwalker	?	?	?
Time Keeper	Time Keeper	?	?	?
Cosmic Energy Prism A	Cosmic Energy Prism A	840	1,000	0.84
Cosmic Energy Prism B	Cosmic Energy Prism B	840	1,000	0.84
Cosmic Energy Prism C	Cosmic Energy Prism C	840	1,000	0.84
Cosmic Energy Prism D	Cosmic Energy Prism D	840	1,000	0.84
The Freezing Time Guardian	The Freezing Time Guardian	50,000	?	?
The Blazing Time Guardian	The Blazing Time Guardian	50,000	?	?
Iron Servant Replica	Iron Servant Replica	210	1,000	0.21
Baby Dragon (Creature)	Baby Dragon (Creature)	?	?	?
Lost Time	Lost Time	?	?	?
Time Waster	Time Waster	?	?	?
Shadow Fiend	Shadow Fiend	?	?	?
Unbound Defiler	Unbound Defiler	?	?	?
Unbound Demon	Unbound Demon	?	?	?
Unbound Demon Outcast	Unbound Demon Outcast	?	?	?
Melting Frozen Horror	Melting Frozen Horror	?	?	?
The Enraged Thorn Knight	The Enraged Thorn Knight	30,000	?	?
The Shielded Thorn Knight	The Shielded Thorn Knight	?	?	?
Elder Forest Fury	Elder Forest Fury	330	670	0.493
Angry Demon	Angry Demon	6,000	8,200	0.732
An Astral Glyph	An Astral Glyph	?	?	?
The Distorted Astral Source	The Distorted Astral Source	?	?	?
Piñata Dragon	Piñata Dragon	50	10,000	0.005
Tazhadur	Tazhadur	9,000	10,000	0.9
Kalyassa	Kalyassa	9,000	10,000	0.9
Dragon Servant	Dragon Servant	?	?	?
Dragon Wrath	Dragon Wrath	?	?	?
Haunted Dragon	Haunted Dragon	6,500	6,500	1
Spirit of Fertility	Spirit of Fertility	?	?	?
Angry Plant	Angry Plant	?	10,000	?
Zorvorax	Zorvorax	9,000	10,000	0.9
Dragon Warden	Dragon Warden	?	?	?
The First Dragon	The First Dragon	?	50,000+	?
An Observer Eye	An Observer Eye	0	30,000	0
Gelidrazah the Frozen	Gelidrazah the Frozen	9,000	10,000	0.9
Giant Spider 7.4	Giant Spider 7.4	0	3,250	0
Giant Spider 7.6	Giant Spider 7.6	0	?	?
Giant Spider 8.1	Giant Spider 8.1	0	?	?
Queen Nostalgia (5)	Queen Nostalgia (5)	0	?	?
Giant Spider Brood 7.4	Giant Spider Brood 7.4	0	1,050	0
Giant Spider Brood 7.6	Giant Spider Brood 7.6	0	1,100	0
Giant Spider Brood 8.1	Giant Spider Brood 8.1	0	1,700	0
Queen Nostalgia (2)	Queen Nostalgia (2)	0	1,700	0
Giant Spider Drone 7.4	Giant Spider Drone 7.4	0	1,150	0
Giant Spider Drone 7.6	Giant Spider Drone 7.6	0	?	?
Giant Spider Drone 8.1	Giant Spider Drone 8.1	0	?	?
Queen Nostalgia (3)	Queen Nostalgia (3)	0	?	?
Giant Spider Hatchling 7.4	Giant Spider Hatchling 7.4	0	950	0
Giant Spider Hatchling 7.6	Giant Spider Hatchling 7.6	0	?	?
Giant Spider Hatchling 8.1	Giant Spider Hatchling 8.1	0	?	?
Queen Nostalgia (1)	Queen Nostalgia (1)	0	?	?
Giant Spider Warrior 7.4	Giant Spider Warrior 7.4	0	?	?
Giant Spider Warrior 7.6	Giant Spider Warrior 7.6	0	?	?
Giant Spider Warrior 8.1	Giant Spider Warrior 8.1	0	?	?
Queen Nostalgia (4)	Queen Nostalgia (4)	0	?	?
Knight Familiar	Knight Familiar	?	10,000	?
Paladin Familiar	Paladin Familiar	?	15,000	?
Druid Familiar	Druid Familiar	?	20,000	?
Sorcerer Familiar	Sorcerer Familiar	?	20,000	?
Furious Fire Elemental	Furious Fire Elemental	220	280	0.786
Pooka	Pooka	500	500	1
Swan Maiden	Swan Maiden	700	800	0.875
Pixie	Pixie	700	770	0.909
Boogy	Boogy	950	1,300	0.731
Barkless Devotee	Barkless Devotee	2,200	2,800	0.786
The Manhunter	The Manhunter	3,000	4,500	0.667
Dark Faun	Dark Faun	900	1,100	0.818
Weakened Frazzlemaw	Weakened Frazzlemaw	1,000	1,200	0.833
Nymph	Nymph	850	900	0.944
Twisted Pooka	Twisted Pooka	600	700	0.857
Animated Clomp	Animated Clomp	475	900	0.528
Animated Guzzlemaw	Animated Guzzlemaw	5,500	6,400	0.859
Animated Mummy	Animated Mummy	150	240	0.625
Animated Ogre Brute	Animated Ogre Brute	800	1,000	0.8
Animated Ogre Savage	Animated Ogre Savage	950	1,400	0.679
Animated Rotworm	Animated Rotworm	40	65	0.615
Animated Cyclops	Animated Cyclops	150	260	0.577
Putrid Mummy	Putrid Mummy	900	1,500	0.6
Minotaur Cult Prophet	Minotaur Cult Prophet	1,100	1,700	0.647
Orc Cult Minion	Orc Cult Minion	850	1,000	0.85
Orc Cultist	Orc Cultist	950	1,350	0.704
Orc Cult Inquisitor	Orc Cult Inquisitor	1,150	1,500	0.767
Orc Cult Priest	Orc Cult Priest	1,000	1,300	0.769
Orc Cult Fanatic	Orc Cult Fanatic	1,100	1,300	0.846
Enfeebled Silencer	Enfeebled Silencer	1,100	1,100	1
Kroazur	Kroazur	2,700	3,000	0.9
Goldhanded Cultist	Goldhanded Cultist	2,000	3,000	0.667
Goldhanded Cultist Bride	Goldhanded Cultist Bride	2,000	3,000	0.667
